,AAPL,AAPL,AAPL,AAPL,AAPL,ADBE,ADBE,ADBE,ADBE,ADBE,CRM,CRM,CRM,CRM,CRM,CSCO,CSCO,CSCO,CSCO,CSCO,FTEC,FTEC,FTEC,FTEC,FTEC,INTC,INTC,INTC,INTC,INTC,MA,MA,MA,MA,MA,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,PYPL,PYPL,PYPL,PYPL,PYPL,V,V,V,V,V
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-20 00:00:00-04:00,151.5,151.74,150.19,150.35,13385671.0,149.1,150.1,148.35,149.94,1103505.0,89.82,90.63,89.42,90.55,2882208.0,31.96,32.05,31.76,31.87,14336279.0,45.17,45.17,44.8501,45.09,162828.0,34.54,34.84,34.475,34.76,10640454.0,128.4,128.84,127.935,128.62,1720807.0,74.17,74.3,73.28,74.25,28766579.0,165.95,167.51,163.9121,167.51,15699254.0,58.77,59.38,58.43,59.09,6620699.0,99.11,99.138,97.93,98.47,6488716.0
2017-07-21 00:00:00-04:00,149.99,150.44,148.88,150.3,17696752.0,149.3,150.4,148.9102,149.52,1127446.0,90.34,90.63,89.54,89.69,2402628.0,31.83,32.03,31.705,31.84,11509433.0,44.93,45.0416,44.85,44.9851,89306.0,34.6,34.82,34.395,34.73,14555325.0,128.53,130.2,128.32,129.26,2985239.0,73.52,74.29,73.17,73.75,38068728.0,166.86,169.3,166.09,168.03,14085863.0,59.01,59.33,58.59,58.66,6035801.0,99.6,100.49,99.09,99.5798,13804481.0
2017-07-24 00:00:00-04:00,150.58,152.44,149.9,152.11,16205032.0,149.37,149.95,149.035,149.57,969019.0,89.65,89.81,88.96,89.705,1866011.0,31.86,31.925,31.66,31.86,9559067.0,45.04,45.22,44.93,45.18,171128.0,34.76,34.8,34.38,34.5,12440846.0,129.39,129.9,128.6,129.69,2120129.0,73.53,73.75,73.13,73.61,16612296.0,168.39,168.78,165.72,166.17,14229669.0,58.9,59.07,58.34,58.6,5192916.0,99.55,100.42,99.14,100.35,5930980.0
2017-07-25 00:00:00-04:00,151.8,153.84,151.8,152.75,15013054.0,149.82,149.82,148.14,148.21,1122057.0,89.73,90.82,89.24,90.63,2535529.0,31.9,32.25,31.88,32.13,12888322.0,45.08,45.2,44.9039,45.12,174812.0,34.55,34.735,34.4,34.66,13661932.0,130.0,130.18,129.22,129.99,1894328.0,73.8,74.31,73.5,74.199,17659800.0,165.22,165.93,163.581,165.35,10232432.0,58.83,58.83,58.19,58.27,6872488.0,100.65,100.85,99.8,100.0,5745764.0
2017-07-26 00:00:00-04:00,153.35,153.93,153.06,153.5,11524332.0,148.62,149.83,148.42,149.78,851729.0,90.59,91.2,90.15,91.07,2742340.0,32.12,32.225,31.51,31.66,16283258.0,45.27,45.5,45.07,45.2,98871.0,34.7,34.97,34.59,34.75,13341457.0,129.92,131.18,129.76,131.07,2655196.0,74.34,74.38,73.81,74.05,12663330.0,167.68,169.927,165.85,167.21,13596104.0,58.5,58.94,57.9,58.77,10362593.0,100.01,100.985,99.86,100.86,5723126.0
2017-07-27 00:00:00-04:00,153.78,153.99,147.3,150.55,27513361.0,149.87,150.37,144.28,146.24,2188698.0,91.25,92.13,89.09,90.5175,2887254.0,31.73,31.7502,31.21,31.57,18577133.0,45.47,45.47,44.25,44.77,322584.0,34.78,35.25,34.67,34.95,28387136.0,132.0,132.1989,126.55,129.0,3833409.0,73.76,74.42,72.32,73.15,27247287.0,168.17,168.74,157.56,161.74,16470118.0,60.92,61.3,57.6921,60.16,19796805.0,100.97,101.18,98.55,99.56,8857627.0
2017-07-28 00:00:00-04:00,149.94,150.23,149.19,149.49,13769301.0,145.77,147.24,144.5,146.73,922039.0,90.0,91.12,89.7,90.61,1555301.0,31.52,31.6,31.26,31.51,13818268.0,44.55,44.83,44.51,44.74,122958.0,35.11,35.86,35.0,35.3,31476271.0,128.96,129.99,127.31,127.9,4255754.0,72.72,73.31,72.54,73.03,13851619.0,160.29,165.38,159.28,164.4,10737737.0,59.8,60.71,59.04,59.19,8446067.0,99.12,99.59,98.51,99.18,5523413.0
2017-07-31 00:00:00-04:00,149.9,150.33,148.13,148.77,14889914.0,146.33,146.91,145.06,146.5,1355205.0,90.81,91.05,89.87,90.81,2193300.0,31.54,31.59,31.37,31.46,14287497.0,44.84,44.8803,44.4418,44.53,258381.0,35.46,35.74,35.32,35.48,17505101.0,128.0,128.45,127.4,127.88,2355614.0,73.3,73.44,72.41,72.72,17128584.0,164.94,166.4,160.62,162.51,11492048.0,59.37,59.64,58.52,58.55,5542952.0,99.5,100.0,99.14,99.57,5727600.0
