Ticker,Name,Type,Instrument,Source
BLOK,Amplify Transformational Data Sharing ETF,Crypto,ETF,benzinga[dot]com
BLCN,Siren ETF Trust Siren Nasdaq NexGen Economy ETF,Crypto,ETF,benzinga[dot]com
LEGR,First Trust Indxx Innovative Transaction & Process ETF,Crypto,ETF,benzinga[dot]com
BITQ,Bitwise Crypto Industry Innovators ETF,Crypto,ETF,etfdb[dot]com
DAPP,VanEck Vectors Digital Transformation ETF,Crypto,ETF,etfdb[dot]com
BTCC-B.TO,Purpose Bitcoin ETF,Crypto,ETF,benzinga[dot]com
KOIN,Capital Link NextGen Protocol ETF,Crypto,ETF,benzinga[dot]com
ESGU,iShares ESG Aware MSCI USA ETF,ESG,ETF,investopedia[dot]com
SUSA,iShares MSCI USA ESG Select ETF,ESG,ETF,investopedia[dot]com
ESGE,iShares ESG Aware MSCI EM ETF,ESG,ETF,investopedia[dot]com
ESGV,Vanguard ESG U.S. Stock ETF,ESG,ETF,investopedia[dot]com
VSGX,Vanguard ESG International Stock ETF,ESG,ETF,investopedia[dot]com
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,ESG,ETF,investopedia[dot]com
SPTL,SPDR Portfolio Long Term Treasury ETF,ESG,ETF,investopedia[dot]com
LTPZ,PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund,ESG,ETF,investopedia[dot]com
GLDM,SPDR Gold MiniShares,ESG,ETF,investopedia[dot]com
DFE,WisdomTree Europe SmallCap Dividend Fund,Dividend,ETF,benzinga[dot]com
DLS,WisdomTree International SmallCap Fund,Dividend,ETF,benzinga[dot]com
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,Dividend,ETF,benzinga[dot]com
QDEF,FlexShares Quality Dividend Defensive Index Fund,Dividend,ETF,benzinga[dot]com
VIG,Vanguard Div Appreciation ETF,Dividend,ETF,benzinga[dot]com
QDF,FlexShares Quality Dividend Index Fund,Dividend,ETF,benzinga[dot]com
DVYE,iShares Emerging Markets Dividend Index Fund Exchange Traded Fund,Dividend,ETF,benzinga[dot]com
DLN,WisdomTree U.S. LargeCap Dividend Fund,Dividend,ETF,benzinga[dot]com
PFM,Invesco Dividend Achievers ETF,Dividend,ETF,benzinga[dot]com
DGRO,iShares Core Dividend Growth ETF,Dividend,ETF,benzinga[dot]com
